,0,1,2,3,4,5,koi_pdisposition
0,1.0,9.208271726256803e-16,-2.5641686370366927e-16,-4.250417987006882e-17,-2.3398994927750012e-17,1.640507415083684e-18,-0.025630158426674387
1,9.208271726256803e-16,1.0,2.0348331402870517e-16,7.904284705220763e-18,-1.1704088427870233e-16,2.720937532050517e-17,-0.015951880588566926
2,-2.5641686370366927e-16,2.0348331402870517e-16,1.0,-5.0901600270852933e-17,1.825574442503123e-16,-1.1172580530298807e-16,-0.10076392343466925
3,-4.250417987006882e-17,7.904284705220763e-18,-5.0901600270852933e-17,1.0,-1.7336575377704394e-17,-2.813998637008062e-17,0.012015975595634224
4,-2.3398994927750012e-17,-1.1704088427870233e-16,1.825574442503123e-16,-1.7336575377704394e-17,1.0,4.07390406321697e-17,-0.026770779202882285
5,1.640507415083684e-18,2.720937532050517e-17,-1.1172580530298807e-16,-2.813998637008062e-17,4.07390406321697e-17,1.0,0.06921303953643089
koi_pdisposition,-0.025630158426674387,-0.015951880588566926,-0.10076392343466925,0.012015975595634224,-0.026770779202882285,0.06921303953643089,1.0
